SUM_YR_1,LAST_TO_END,AVG_INTERVAL
12500.0,53,32.0
7444.0,23,25.88235294
0.0,6,4.921875
3126.0,12,7.15
14001.0,1,9.285714286
14570.0,30,33.13333333
5546.0,5,8.015873016
15407.0,6,8.243589744
4328.0,2,8.746987952000001
12600.0,9,40.8
14624.0,2,5.966942148999999
11024.0,4,7.698630137
12331.0,14,25.31818182
6302.0,19,10.68181818
11050.0,6,42.33333333
11065.0,10,14.61702128
14588.0,18,7.847058823999999
3840.0,19,11.23809524
4050.0,9,7.232323232000001
3024.0,1,7.147540984
1050.0,13,27.85714286
7924.0,9,15.85714286
14142.0,8,9.557692308
13870.0,67,62.6
12985.0,58,14.61764706
15506.0,1,7.510638298
3355.0,46,6.222222222
9800.0,7,79.83333333
11215.0,9,14.78571429
13894.0,5,8.279411765
2229.0,3,11.67213115
3334.0,2,8.888888889
13556.0,15,14.97619048
11395.0,5,10.83076923
3394.0,17,25.11111111
15151.0,18,9.28125
14988.0,46,54.16666667
15079.0,4,5.168421053
2288.0,18,16.04
13402.0,3,10.31428571
8975.0,27,16.66666667
13932.0,23,11.98148148
14128.0,1,11.359375
13446.0,30,46.73333333
8678.0,10,11.61290323
11790.0,9,22.23333333
11350.0,143,72.625
15931.0,1,5.030927835
10350.0,34,54.83333333
12244.0,2,10.66666667
13108.0,3,24.2
584.0,2,12.78846154
1815.0,11,10.10810811
9644.0,38,13.56
0.0,14,10.14285714
14950.0,88,65.66666667
10800.0,11,14.01960784
3615.0,2,16.32258065
13820.0,3,64.75
13915.0,151,42.7
12900.0,19,50.18181818
7801.0,86,56.5
13359.0,8,13.58333333
10656.0,8,11.31034483
8986.0,4,11.71186441
12825.0,5,18.43589744
8145.0,2,15.91111111
0.0,27,81.0
5955.0,1,8.25974026
8850.0,4,16.13636364
12800.0,44,94.57142857
12480.0,11,13.67307692
13943.0,21,50.5
5465.0,17,21.2
9284.0,6,9.28358209
15696.0,6,12.17241379
11400.0,77,69.57142857
12163.0,2,14.90909091
15872.0,2,11.0483871
9600.0,175,30.125
13600.0,1,19.72972973
13340.0,9,10.37681159
13560.0,112,28.09090909
15239.0,22,11.22222222
8918.0,61,12.91836735
12145.0,68,22.83333333
13700.0,6,97.57142857
13999.0,2,11.265625
14040.0,30,74.57142857
13349.0,2,19.7027027
13385.0,28,67.77777778
11894.0,23,17.38709677
14863.0,2,12.3220339
12465.0,107,25.25
8090.0,9,11.68085106
15585.0,2,16.80952381
13645.0,107,66.22222222
8350.0,67,68.77777778
12948.0,6,60.41666667
13125.0,39,55.2
9900.0,71,60.44444444
9908.0,6,54.25
12178.0,1,8.506666667000001
13021.0,11,14.04255319
10600.0,6,90.625
0.0,23,11.28
7095.0,13,18.60526316
10342.0,4,25.6
8730.0,4,15.125
15572.0,22,13.93333333
13250.0,38,59.375
3520.0,87,68.83333333
13720.0,3,9.493333333
14254.0,32,10.49206349
14317.0,32,6.363636364
11447.0,28,54.36363636
4848.0,6,11.05660377
3525.0,4,23.03448276
11572.0,26,14.24489796
0.0,123,42.4
14823.0,74,33.66666667
11365.0,90,32.10526316
9600.0,41,64.2
