FLIGHT_COUNT,SEG_KM_SUM,AVG_INTERVAL,avg_discount,EXCHANGE_COUNT,DAYS_SINCE_LAST_FLIGHT
210,580717,3.483253589,0.961639043,34,0.0
135,283712,5.298507463,1.254675516,20,10.0
23,281336,27.86363636,1.090869565,11,95.0
152,309928,4.78807947,0.970657895,27,4.0
92,294585,7.043956044,0.967692483,10,77.0
101,287042,7.19,0.965346535,20,0.0
73,287230,10.11111111,0.962070222,7,2.0
64,375074,11.33333333,0.7080101529999999,13,14.0
43,262013,16.83333333,0.988658044,1,21.0
145,271438,5.027777778,0.95253487,15,5.0
29,321529,23.0,0.799126984,3,65.0
118,179514,6.196581197,1.398381742,14,2.0
50,270067,14.87755102,0.921984841,9,1.0
22,234721,31.19047619,1.026084586,6,63.0
101,172231,6.84,1.3865249,15,6.0
64,169358,11.20634921,1.401596264,16,1.0
38,332896,18.67567568,0.70828541,0,23.0
106,167113,6.438095238,1.369404116,4,3.0
94,305250,7.47311828,0.741803833,5,22.0
62,243674,11.24590164,0.902990019,7,16.0
213,187917,3.433962264,1.146354614,0,2.0
74,148685,9.493150685,1.4333644280000002,8,10.0
101,159129,7.08,1.33816985,3,17.0
87,149254,8.26744186,1.424714581,9,10.0
53,144076,13.46153846,1.469224298,3,1.0
95,149053,7.574468085,1.414895104,8,7.0
131,220948,5.492307692000001,0.944884271,14,15.0
95,148227,7.712765957,1.3986401940000002,8,2.0
25,220389,23.41666667,0.937899941,9,106.0
24,189813,27.82608696,1.087220053,6,32.0
54,141012,11.37735849,1.462104927,5,123.0
166,229303,4.381818182,0.890172305,10,0.0
81,140819,8.5625,1.4291794430000002,1,32.0
98,137876,7.505154639,1.458541443,11,1.0
35,201141,21.38235294,0.998554546,13,2.0
95,140803,7.712765957,1.3969850069999998,1,2.0
46,256766,15.88888889,0.764737193,0,12.0
54,160825,13.05660377,1.20853437,0,36.0
110,187588,5.752293578,1.015978367,5,0.0
134,140356,5.428571429,1.356053179,9,6.0
107,135811,6.839622642,1.3989924230000002,2,1.0
70,219282,6.028985507000001,0.863479447,8,302.0
189,235687,3.872340426,0.802633323,5,0.0
87,132283,8.418604651,1.4251770069999998,3,3.0
29,211369,25.67857143,0.8888699859999999,7,10.0
48,130135,15.14893617,1.408197795,3,0.0
68,135374,10.46268657,1.349375212,2,0.0
111,216560,6.590909091,0.828452854,19,3.0
69,131660,9.676470588,1.3549435669999998,6,21.0
126,204371,5.704,0.867522349,2,3.0
55,153868,13.16666667,1.146000598,0,14.0
76,214921,9.133333333,0.819187329,5,20.0
68,127335,10.52238806,1.380410335,3,14.0
77,136121,9.552631579,1.288018381,4,0.0
84,186821,8.734939759,0.938031056,1,5.0
96,204612,7.294736842000001,0.848239546,12,13.0
30,164001,23.34482759,1.057257212,2,7.0
85,121097,8.333333332999999,1.4261062619999998,8,18.0
32,182563,18.58064516,0.944650121,8,86.0
34,170121,21.57575758,1.013669976,10,18.0
197,275800,3.714285714,0.620507614,0,0.0
18,209911,31.35294118,0.8118710790000001,2,60.0
64,137636,11.12698413,1.236256939,9,18.0
149,219108,4.885135135,0.774487057,4,3.0
61,143186,11.93333333,1.183962818,3,12.0
36,209839,17.45714286,0.8061770690000001,2,34.0
22,170406,32.66666667,0.992454374,0,21.0
23,169224,16.0,0.995539285,1,28.0
102,140220,7.00990099,1.179368992,1,7.0
81,159255,9.0375,1.034587737,20,5.0
30,208687,21.93103448,0.782406571,4,5.0
127,170611,5.492063492000001,0.956332827,7,11.0
56,116728,11.47272727,1.394863786,5,1.0
79,208797,8.756410256,0.777341772,2,0.0
97,155881,7.520833333,1.036667137,3,8.0
158,205159,4.624203822,0.784701427,3,1.0
64,115300,11.33333333,1.3912993059999998,0,6.0
51,137500,14.14,1.165835855,1,12.0
29,157056,19.96428571,1.0178590440000002,6,142.0
69,114077,10.5,1.3874902919999998,10,0.0
88,122619,8.091954023,1.281481989,6,14.0
42,162453,15.65853659,0.966069448,4,14.0
129,109813,5.5859375,1.429138536,8,9.0
67,123464,10.51515152,1.265322199,0,13.0
12,146784,32.0,1.059166667,0,51.0
100,162250,7.323232322999999,0.952273652,2,3.0
69,118726,10.57352941,1.297050351,14,10.0
17,125349,36.375,1.226505277,2,32.0
12,146784,65.09090909,1.046666667,2,8.0
54,144562,12.83018868,1.053910364,0,3.0
79,123985,9.076923077,1.228445376,7,20.0
87,105119,8.38372093,1.4454897780000002,9,4.0
53,144682,13.21153846,1.046215562,12,16.0
92,134823,7.824175824,1.118316089,13,16.0
90,108184,8.112359551,1.390945611,6,2.0
56,104663,12.90909091,1.435274261,0,8.0
146,191328,4.979310345,0.7832398290000001,8,3.0
35,167150,21.05882353,0.894261083,0,14.0
33,174046,20.40625,0.85318887,3,61.0
142,177357,5.113475177,0.835532119,7,6.0
31,204438,21.43333333,0.723434195,3,42.0
53,102999,13.42307692,1.434114409,5,28.0
21,159605,32.35,0.925114251,7,13.0
16,195712,41.86666667,0.75375,0,26.0
85,155704,8.630952381,0.946174922,15,2.0
71,119961,9.571428571,1.225504039,6,21.0
130,167593,5.465116279,0.873661907,2,1.0
89,149557,7.863636363999999,0.978068228,3,3.0
83,103087,8.756097561,1.411593411,11,10.0
99,162215,7.255102041000001,0.8969661870000001,9,1.0
40,198627,17.79487179,0.731685018,2,26.0
52,99524,14.07843137,1.458000784,5,10.0
65,119794,10.96875,1.210876087,12,9.0
34,151642,19.0,0.951756044,1,2.0
83,149993,8.829268293,0.960765569,0,5.0
65,109089,10.78125,1.318943707,0,23.0
18,146238,25.88235294,0.982511386,2,22.0
66,102689,11.13846154,1.39722054,1,3.0
52,105167,13.01960784,1.3569867919999998,2,1.0
27,182561,24.5,0.780547269,0,36.0
193,209912,3.78125,0.6756097790000001,17,0.0
65,184730,4.921875,0.764,1,5.0
14,144708,42.46153846,0.97367319,2,57.0
24,213058,30.73913043,0.658633893,2,10.0
89,177556,7.965909091,0.787337009,0,16.0
57,98104,12.875,1.42497258,10,7.0
